Agency,County,City,URL,How far back,Works,Site
Wake Forest Police Department,Franklin,Wake Forest,http://p2c.wakeforestnc.gov/p2c/Summary.aspx,7,Yes,wfpd
Wake County Sheriff's Office,Wake,,http://p2c.wakeso.net/Summary.aspx,7,Yes,wcso
Greensboro Police Department,Guilford,Greensboro,http://p2c.greensboro-nc.gov/Summary.aspx,7,Yes,gbpd
Winston-Salem Police Department,Forsyth,Winston-Salem,http://www.wspdp2c.org/Summary.aspx,7,Yes,wspd
Buncombe County Sheriff's Office,Buncombe,,http://bcsd.p2c.buncombecounty.org/Summary.aspx,7,Yes,bcso
High Point Police Department,Guilford,High Point,http://p2c.high-point.net/Summary.aspx,7,Yes,hppd
Forsyth County Sheriff's Office,Forsyth,,http://p2c.fcso.us/Summary.aspx,7,Yes,fcso
Union County Sheriff's Office,Union,,http://sheriff.co.union.nc.us/Summary.aspx,7,Yes,ucso
Lincoln County Sheriff's Office,Lincoln,,http://www.lincolnsheriff.org/p2c/Summary.aspx,7,Yes,lcso
Burke County Sheriff's Office,Burke,,http://www.morgantonps.org/p2c/Summary.aspx,7,Yes,burcoso
Wilson County Sheriff's Office,Wilson,,http://p2c.wilsonnc.org/Summary.aspx,7,Yes,wilcoso
Hickory Police Department,Catawba,Hickory,http://www.hickorypd.net/p2c/Summary.aspx,7,Yes,hickpd
Sanford Police Department,Lee,Sanford,http://p2csanfordnc.net/Summary.aspx,7,Yes,sanpd
Huntersville Police Department,Mecklenburg,Huntersville,http://173.226.80.55/p2c/dailybulletin.aspx,7,Yes,huntpd
Kannapolis Police Department,Cabarrus,Kannapolis,http://kannapolisp2c.com/p2c/Summary.aspx,7,Yes,kanpd
Lexington County Police Department,Davidson,Lexington,http://dev.lexingtonnc.net/p2c/Summary.aspx,7,Yes,lexso
Kernersville Police Department,Forsyth,Kernersville,http://p2c.toknc.com/Summary.aspx,7,Yes,kernpd
Lenoir Police Department,Caldwell,Lenoir,http://p2c.cityoflenoir.com/Summary.aspx,7,Yes,lenpd
Chapel Hill Police Department,Orange,Chapel Hill,http://p2c.chpd.us/Summary.aspx,7,Yes,chpd
Asheville Police Department,Buncombe,Asheville,https://apdp2c.buncombecounty.org/Summary.aspx,7,Yes,ashepd
Concord Police Department,Cabarrus,Concord,http://www.concordp2c.com/Summary.aspx,7,Yes,conpd
Rocky Mount Police Department,Edgecombe,Rocky Mount,http://rmpdp2c.rockymountnc.gov/p2c/Summary.aspx,7,Yes,rmpd
Rowan County Sheriff's Office,Rowan,,http://ossip2c.rowancountync.gov/p2c/Summary.aspx,7,Yes,rowpd
Wilmington Police Department,New Hanover,Wilmington,http://p2c.wilmingtonnc.gov/Summary.aspx,7,Yes,wilmpd
Cleveland County Sheriff's Office,Cleveland,,http://74.218.167.200/p2c/dailybulletin.aspx,7,Yes,clecoso
Carboro Police Department,Orange,Carboro,http://p2c.townofcarrboro.org/Summary.aspx,7,Yes,carbpd
